POSITION,1,E:\double-sphere data\h1d1-34.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         5,          0.005000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.005000.00,
         6,          0.006000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.006000.00,
         7,          0.007000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.007000.00,
         8,          0.008000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.008000.00,
         9,          0.009000001,                  402,                 -365,Mon Apr 22 2019 08:11:09.009000.00,
        10,          0.010000001,                  402,                 -365,Mon Apr 22 2019 08:11:09.010000.00,
        11,          0.011000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.011000.00,
        12,          0.012000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.012000.00,
        13,          0.013000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.013000.00,
        14,          0.014000000,                  402,                 -365,Mon Apr 22 2019 08:11:09.014000.00,
        15,          0.015000001,                  402,                 -365,Mon Apr 22 2019 08:11:09.015000.00,
        16,          0.016000001,                  404,                 -367,Mon Apr 22 2019 08:11:09.016000.00,
        17,          0.017000000,                  405,                 -370,Mon Apr 22 2019 08:11:09.017000.00,
        18,          0.018000000,                  407,                 -372,Mon Apr 22 2019 08:11:09.018000.00,
        19,          0.019000000,                  409,                 -375,Mon Apr 22 2019 08:11:09.019000.00,
        20,          0.020000000,                  410,                 -377,Mon Apr 22 2019 08:11:09.020000.00,
        21,          0.021000001,                  411,                 -379,Mon Apr 22 2019 08:11:09.021000.00,
        22,          0.022000001,                  412,                 -381,Mon Apr 22 2019 08:11:09.022000.00,
        23,          0.023000000,                  412,                 -383,Mon Apr 22 2019 08:11:09.023000.00,
        24,          0.024000000,                  413,                 -386,Mon Apr 22 2019 08:11:09.024000.00,
        25,          0.025000000,                  413,                 -388,Mon Apr 22 2019 08:11:09.025000.00,
        26,          0.026000001,                  412,                 -390,Mon Apr 22 2019 08:11:09.026000.00,
        27,          0.027000001,                  411,                 -392,Mon Apr 22 2019 08:11:09.027000.00,
        28,          0.028000000,                  411,                 -395,Mon Apr 22 2019 08:11:09.028000.00,
        29,          0.029000000,                  410,                 -397,Mon Apr 22 2019 08:11:09.029000.00,
        30,          0.030000000,                  409,                 -400,Mon Apr 22 2019 08:11:09.030000.00,
        31,          0.031000000,                  407,                 -403,Mon Apr 22 2019 08:11:09.031000.00,
        32,          0.032000001,                  406,                 -406,Mon Apr 22 2019 08:11:09.032000.00,
        33,          0.033000001,                  404,                 -409,Mon Apr 22 2019 08:11:09.033000.00,
        34,          0.034000000,                  403,                 -412,Mon Apr 22 2019 08:11:09.034000.00,
        35,          0.035000000,                  401,                 -416,Mon Apr 22 2019 08:11:09.035000.00,
        36,          0.036000000,                  399,                 -420,Mon Apr 22 2019 08:11:09.036000.00,
        37,          0.037000000,                  397,                 -424,Mon Apr 22 2019 08:11:09.037000.00,
        38,          0.038000001,                  394,                 -428,Mon Apr 22 2019 08:11:09.038000.00,
        39,          0.039000001,                  392,                 -432,Mon Apr 22 2019 08:11:09.039000.00,
        40,          0.040000000,                  389,                 -436,Mon Apr 22 2019 08:11:09.040000.00,
        41,          0.041000000,                  386,                 -441,Mon Apr 22 2019 08:11:09.041000.00,
        42,          0.042000000,                  383,                 -446,Mon Apr 22 2019 08:11:09.042000.00,
        43,          0.043000001,                  381,                 -450,Mon Apr 22 2019 08:11:09.043000.00,
        44,          0.044000001,                  378,                 -455,Mon Apr 22 2019 08:11:09.044000.00,
        45,          0.045000000,                  375,                 -460,Mon Apr 22 2019 08:11:09.045000.00,
        46,          0.046000000,                  373,                 -466,Mon Apr 22 2019 08:11:09.046000.00,
        47,          0.047000000,                  370,                 -472,Mon Apr 22 2019 08:11:09.047000.00,
        48,          0.048000000,                  367,                 -479,Mon Apr 22 2019 08:11:09.048000.00,
        49,          0.049000001,                  364,                 -485,Mon Apr 22 2019 08:11:09.049000.00,
        50,          0.050000001,                  362,                 -492,Mon Apr 22 2019 08:11:09.050000.00,
        51,          0.051000000,                  359,                 -499,Mon Apr 22 2019 08:11:09.051000.00,
        52,          0.052000000,                  357,                 -506,Mon Apr 22 2019 08:11:09.052000.00,
        53,          0.053000000,                  355,                 -513,Mon Apr 22 2019 08:11:09.053000.00,
        54,          0.054000000,                  352,                 -521,Mon Apr 22 2019 08:11:09.054000.00,
        55,          0.055000001,                  351,                 -528,Mon Apr 22 2019 08:11:09.055000.00,
