POSITION,1,E:\double-sphere data\h1d1-26.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        14,          0.014000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.014000.00,
        15,          0.015000001,                  327,                 -428,Mon Apr 22 2019 07:36:09.015000.00,
        16,          0.016000001,                  327,                 -428,Mon Apr 22 2019 07:36:09.016000.00,
        17,          0.017000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.017000.00,
        18,          0.018000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.018000.00,
        19,          0.019000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.019000.00,
        20,          0.020000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.020000.00,
        21,          0.021000001,                  327,                 -428,Mon Apr 22 2019 07:36:09.021000.00,
        22,          0.022000001,                  327,                 -428,Mon Apr 22 2019 07:36:09.022000.00,
        23,          0.023000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.023000.00,
        24,          0.024000000,                  327,                 -428,Mon Apr 22 2019 07:36:09.024000.00,
        25,          0.025000000,                  327,                 -430,Mon Apr 22 2019 07:36:09.025000.00,
        26,          0.026000001,                  328,                 -436,Mon Apr 22 2019 07:36:09.026000.00,
        27,          0.027000001,                  328,                 -443,Mon Apr 22 2019 07:36:09.027000.00,
        28,          0.028000000,                  329,                 -449,Mon Apr 22 2019 07:36:09.028000.00,
        29,          0.029000000,                  329,                 -456,Mon Apr 22 2019 07:36:09.029000.00,
        30,          0.030000000,                  330,                 -462,Mon Apr 22 2019 07:36:09.030000.00,
        31,          0.031000000,                  330,                 -469,Mon Apr 22 2019 07:36:09.031000.00,
        32,          0.032000001,                  332,                 -475,Mon Apr 22 2019 07:36:09.032000.00,
        33,          0.033000001,                  333,                 -481,Mon Apr 22 2019 07:36:09.033000.00,
        34,          0.034000000,                  333,                 -487,Mon Apr 22 2019 07:36:09.034000.00,
        35,          0.035000000,                  334,                 -494,Mon Apr 22 2019 07:36:09.035000.00,
        36,          0.036000000,                  335,                 -500,Mon Apr 22 2019 07:36:09.036000.00,
        37,          0.037000000,                  335,                 -506,Mon Apr 22 2019 07:36:09.037000.00,
        38,          0.038000001,                  336,                 -512,Mon Apr 22 2019 07:36:09.038000.00,
        39,          0.039000001,                  337,                 -518,Mon Apr 22 2019 07:36:09.039000.00,
        40,          0.040000000,                  338,                 -524,Mon Apr 22 2019 07:36:09.040000.00,
        41,          0.041000000,                  339,                 -530,Mon Apr 22 2019 07:36:09.041000.00,
        42,          0.042000000,                  339,                 -536,Mon Apr 22 2019 07:36:09.042000.00,
        43,          0.043000001,                  340,                 -542,Mon Apr 22 2019 07:36:09.043000.00,
        44,          0.044000001,                  341,                 -548,Mon Apr 22 2019 07:36:09.044000.00,
        45,          0.045000000,                  342,                 -553,Mon Apr 22 2019 07:36:09.045000.00,
        46,          0.046000000,                  342,                 -559,Mon Apr 22 2019 07:36:09.046000.00,
        47,          0.047000000,                  343,                 -565,Mon Apr 22 2019 07:36:09.047000.00,
        48,          0.048000000,                  344,                 -571,Mon Apr 22 2019 07:36:09.048000.00,
        49,          0.049000001,                  344,                 -576,Mon Apr 22 2019 07:36:09.049000.00,
        50,          0.050000001,                  345,                 -582,Mon Apr 22 2019 07:36:09.050000.00,
        51,          0.051000000,                  345,                 -587,Mon Apr 22 2019 07:36:09.051000.00,
        52,          0.052000000,                  346,                 -593,Mon Apr 22 2019 07:36:09.052000.00,
        53,          0.053000000,                  347,                 -599,Mon Apr 22 2019 07:36:09.053000.00,
        54,          0.054000000,                  347,                 -604,Mon Apr 22 2019 07:36:09.054000.00,
        55,          0.055000001,                  348,                 -610,Mon Apr 22 2019 07:36:09.055000.00,
        56,          0.056000001,                  349,                 -615,Mon Apr 22 2019 07:36:09.056000.00,
        57,          0.057000000,                  350,                 -621,Mon Apr 22 2019 07:36:09.057000.00,
        58,          0.058000000,                  351,                 -626,Mon Apr 22 2019 07:36:09.058000.00,
        59,          0.059000000,                  351,                 -632,Mon Apr 22 2019 07:36:09.059000.00,
        60,          0.060000001,                  352,                 -637,Mon Apr 22 2019 07:36:09.060000.00,
        61,          0.061000001,                  352,                 -642,Mon Apr 22 2019 07:36:09.061000.00,
        62,          0.062000000,                  353,                 -648,Mon Apr 22 2019 07:36:09.062000.00,
        63,          0.063000000,                  354,                 -653,Mon Apr 22 2019 07:36:09.063000.00,
