POSITION,1,E:\double-sphere data\h1d1-8.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        10,          0.010000001,                  307,                 -432,Sun Apr 21 2019 06:42:55.010000.00,
        11,          0.011000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.011000.00,
        12,          0.012000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.012000.00,
        13,          0.013000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.013000.00,
        14,          0.014000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.014000.00,
        15,          0.015000001,                  307,                 -432,Sun Apr 21 2019 06:42:55.015000.00,
        16,          0.016000001,                  307,                 -432,Sun Apr 21 2019 06:42:55.016000.00,
        17,          0.017000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.017000.00,
        18,          0.018000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.018000.00,
        19,          0.019000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.019000.00,
        20,          0.020000000,                  307,                 -432,Sun Apr 21 2019 06:42:55.020000.00,
        21,          0.021000001,                  307,                 -435,Sun Apr 21 2019 06:42:55.021000.00,
        22,          0.022000001,                  307,                 -442,Sun Apr 21 2019 06:42:55.022000.00,
        23,          0.023000000,                  307,                 -448,Sun Apr 21 2019 06:42:55.023000.00,
        24,          0.024000000,                  307,                 -455,Sun Apr 21 2019 06:42:55.024000.00,
        25,          0.025000000,                  307,                 -462,Sun Apr 21 2019 06:42:55.025000.00,
        26,          0.026000001,                  306,                 -468,Sun Apr 21 2019 06:42:55.026000.00,
        27,          0.027000001,                  306,                 -475,Sun Apr 21 2019 06:42:55.027000.00,
        28,          0.028000000,                  306,                 -481,Sun Apr 21 2019 06:42:55.028000.00,
        29,          0.029000000,                  306,                 -488,Sun Apr 21 2019 06:42:55.029000.00,
        30,          0.030000000,                  306,                 -494,Sun Apr 21 2019 06:42:55.030000.00,
        31,          0.031000000,                  306,                 -501,Sun Apr 21 2019 06:42:55.031000.00,
        32,          0.032000001,                  306,                 -507,Sun Apr 21 2019 06:42:55.032000.00,
        33,          0.033000001,                  305,                 -514,Sun Apr 21 2019 06:42:55.033000.00,
        34,          0.034000000,                  305,                 -520,Sun Apr 21 2019 06:42:55.034000.00,
        35,          0.035000000,                  305,                 -527,Sun Apr 21 2019 06:42:55.035000.00,
        36,          0.036000000,                  305,                 -533,Sun Apr 21 2019 06:42:55.036000.00,
        37,          0.037000000,                  305,                 -540,Sun Apr 21 2019 06:42:55.037000.00,
        38,          0.038000001,                  305,                 -546,Sun Apr 21 2019 06:42:55.038000.00,
        39,          0.039000001,                  305,                 -553,Sun Apr 21 2019 06:42:55.039000.00,
        40,          0.040000000,                  305,                 -559,Sun Apr 21 2019 06:42:55.040000.00,
        41,          0.041000000,                  305,                 -566,Sun Apr 21 2019 06:42:55.041000.00,
        42,          0.042000000,                  305,                 -572,Sun Apr 21 2019 06:42:55.042000.00,
        43,          0.043000001,                  305,                 -578,Sun Apr 21 2019 06:42:55.043000.00,
        44,          0.044000001,                  304,                 -585,Sun Apr 21 2019 06:42:55.044000.00,
        45,          0.045000000,                  304,                 -591,Sun Apr 21 2019 06:42:55.045000.00,
        46,          0.046000000,                  304,                 -597,Sun Apr 21 2019 06:42:55.046000.00,
        47,          0.047000000,                  304,                 -604,Sun Apr 21 2019 06:42:55.047000.00,
        48,          0.048000000,                  304,                 -610,Sun Apr 21 2019 06:42:55.048000.00,
        49,          0.049000001,                  304,                 -616,Sun Apr 21 2019 06:42:55.049000.00,
        50,          0.050000001,                  304,                 -623,Sun Apr 21 2019 06:42:55.050000.00,
        51,          0.051000000,                  304,                 -629,Sun Apr 21 2019 06:42:55.051000.00,
        52,          0.052000000,                  304,                 -635,Sun Apr 21 2019 06:42:55.052000.00,
        53,          0.053000000,                  303,                 -642,Sun Apr 21 2019 06:42:55.053000.00,
        54,          0.054000000,                  303,                 -648,Sun Apr 21 2019 06:42:55.054000.00,
        55,          0.055000001,                  303,                 -654,Sun Apr 21 2019 06:42:55.055000.00,
