POSITION,1,F:\double-sphere data\h4s1-2.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         5,          0.005000000,                  279,                 -140,Wed May 22 2019 10:01:34.005000.00,
         6,          0.006000000,                  278,                 -147,Wed May 22 2019 10:01:34.006000.00,
         7,          0.007000000,                  277,                 -155,Wed May 22 2019 10:01:34.007000.00,
         8,          0.008000000,                  277,                 -162,Wed May 22 2019 10:01:34.008000.00,
         9,          0.009000001,                  276,                 -169,Wed May 22 2019 10:01:34.009000.00,
        10,          0.010000001,                  275,                 -177,Wed May 22 2019 10:01:34.010000.00,
        11,          0.011000000,                  274,                 -184,Wed May 22 2019 10:01:34.011000.00,
        12,          0.012000000,                  273,                 -191,Wed May 22 2019 10:01:34.012000.00,
        13,          0.013000000,                  272,                 -199,Wed May 22 2019 10:01:34.013000.00,
        14,          0.014000000,                  271,                 -206,Wed May 22 2019 10:01:34.014000.00,
        15,          0.015000001,                  270,                 -213,Wed May 22 2019 10:01:34.015000.00,
        16,          0.016000001,                  269,                 -221,Wed May 22 2019 10:01:34.016000.00,
        17,          0.017000000,                  268,                 -223,Wed May 22 2019 10:01:34.017000.00,
        18,          0.018000000,                  266,                 -223,Wed May 22 2019 10:01:34.018000.00,
        19,          0.019000000,                  265,                 -224,Wed May 22 2019 10:01:34.019000.00,
        20,          0.020000000,                  264,                 -224,Wed May 22 2019 10:01:34.020000.00,
        21,          0.021000001,                  263,                 -224,Wed May 22 2019 10:01:34.021000.00,
        22,          0.022000001,                  262,                 -224,Wed May 22 2019 10:01:34.022000.00,
        23,          0.023000000,                  260,                 -224,Wed May 22 2019 10:01:34.023000.00,
        24,          0.024000000,                  259,                 -224,Wed May 22 2019 10:01:34.024000.00,
        25,          0.025000000,                  258,                 -224,Wed May 22 2019 10:01:34.025000.00,
        26,          0.026000001,                  257,                 -224,Wed May 22 2019 10:01:34.026000.00,
        27,          0.027000001,                  256,                 -225,Wed May 22 2019 10:01:34.027000.00,
        28,          0.028000000,                  254,                 -225,Wed May 22 2019 10:01:34.028000.00,
        29,          0.029000000,                  253,                 -225,Wed May 22 2019 10:01:34.029000.00,
        30,          0.030000000,                  252,                 -225,Wed May 22 2019 10:01:34.030000.00,
        31,          0.031000000,                  251,                 -226,Wed May 22 2019 10:01:34.031000.00,
        32,          0.032000001,                  250,                 -226,Wed May 22 2019 10:01:34.032000.00,
        33,          0.033000001,                  249,                 -226,Wed May 22 2019 10:01:34.033000.00,
        34,          0.034000000,                  248,                 -226,Wed May 22 2019 10:01:34.034000.00,
        35,          0.035000000,                  247,                 -226,Wed May 22 2019 10:01:34.035000.00,
        36,          0.036000000,                  246,                 -227,Wed May 22 2019 10:01:34.036000.00,
        37,          0.037000000,                  245,                 -227,Wed May 22 2019 10:01:34.037000.00,
        38,          0.038000001,                  244,                 -227,Wed May 22 2019 10:01:34.038000.00,
        39,          0.039000001,                  242,                 -228,Wed May 22 2019 10:01:34.039000.00,
