POSITION,1,E:\double-sphere data\h4d1-13.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         1,          0.001000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.001000.00,
         2,          0.002000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.002000.00,
         3,          0.003000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.003000.00,
         4,          0.004000001,                  354,                 -356,Tue Apr 23 2019 05:31:02.004000.00,
         5,          0.005000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.005000.00,
         6,          0.006000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.006000.00,
         7,          0.007000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.007000.00,
         8,          0.008000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.008000.00,
         9,          0.009000001,                  354,                 -356,Tue Apr 23 2019 05:31:02.009000.00,
        10,          0.010000001,                  354,                 -356,Tue Apr 23 2019 05:31:02.010000.00,
        11,          0.011000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.011000.00,
        12,          0.012000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.012000.00,
        13,          0.013000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.013000.00,
        14,          0.014000000,                  354,                 -356,Tue Apr 23 2019 05:31:02.014000.00,
        15,          0.015000001,                  354,                 -357,Tue Apr 23 2019 05:31:02.015000.00,
        16,          0.016000001,                  354,                 -358,Tue Apr 23 2019 05:31:02.016000.00,
        17,          0.017000000,                  353,                 -359,Tue Apr 23 2019 05:31:02.017000.00,
        18,          0.018000000,                  353,                 -360,Tue Apr 23 2019 05:31:02.018000.00,
        19,          0.019000000,                  353,                 -361,Tue Apr 23 2019 05:31:02.019000.00,
        20,          0.020000000,                  352,                 -362,Tue Apr 23 2019 05:31:02.020000.00,
        21,          0.021000001,                  351,                 -363,Tue Apr 23 2019 05:31:02.021000.00,
        22,          0.022000001,                  349,                 -363,Tue Apr 23 2019 05:31:02.022000.00,
        23,          0.023000000,                  348,                 -364,Tue Apr 23 2019 05:31:02.023000.00,
        24,          0.024000000,                  347,                 -365,Tue Apr 23 2019 05:31:02.024000.00,
        25,          0.025000000,                  346,                 -366,Tue Apr 23 2019 05:31:02.025000.00,
        26,          0.026000001,                  345,                 -367,Tue Apr 23 2019 05:31:02.026000.00,
        27,          0.027000001,                  344,                 -368,Tue Apr 23 2019 05:31:02.027000.00,
        28,          0.028000000,                  343,                 -369,Tue Apr 23 2019 05:31:02.028000.00,
        29,          0.029000000,                  341,                 -370,Tue Apr 23 2019 05:31:02.029000.00,
        30,          0.030000000,                  339,                 -371,Tue Apr 23 2019 05:31:02.030000.00,
        31,          0.031000000,                  337,                 -372,Tue Apr 23 2019 05:31:02.031000.00,
        32,          0.032000001,                  335,                 -373,Tue Apr 23 2019 05:31:02.032000.00,
        33,          0.033000001,                  333,                 -374,Tue Apr 23 2019 05:31:02.033000.00,
        34,          0.034000000,                  331,                 -375,Tue Apr 23 2019 05:31:02.034000.00,
        35,          0.035000000,                  328,                 -377,Tue Apr 23 2019 05:31:02.035000.00,
        36,          0.036000000,                  326,                 -378,Tue Apr 23 2019 05:31:02.036000.00,
        37,          0.037000000,                  323,                 -379,Tue Apr 23 2019 05:31:02.037000.00,
        38,          0.038000001,                  321,                 -381,Tue Apr 23 2019 05:31:02.038000.00,
        39,          0.039000001,                  318,                 -382,Tue Apr 23 2019 05:31:02.039000.00,
        40,          0.040000000,                  315,                 -384,Tue Apr 23 2019 05:31:02.040000.00,
        41,          0.041000000,                  313,                 -386,Tue Apr 23 2019 05:31:02.041000.00,
        42,          0.042000000,                  309,                 -388,Tue Apr 23 2019 05:31:02.042000.00,
        43,          0.043000001,                  306,                 -389,Tue Apr 23 2019 05:31:02.043000.00,
        44,          0.044000001,                  303,                 -391,Tue Apr 23 2019 05:31:02.044000.00,
        45,          0.045000000,                  300,                 -393,Tue Apr 23 2019 05:31:02.045000.00,
        46,          0.046000000,                  297,                 -395,Tue Apr 23 2019 05:31:02.046000.00,
        47,          0.047000000,                  294,                 -397,Tue Apr 23 2019 05:31:02.047000.00,
        48,          0.048000000,                  290,                 -399,Tue Apr 23 2019 05:31:02.048000.00,
        49,          0.049000001,                  287,                 -402,Tue Apr 23 2019 05:31:02.049000.00,
        50,          0.050000001,                  284,                 -404,Tue Apr 23 2019 05:31:02.050000.00,
        51,          0.051000000,                  280,                 -407,Tue Apr 23 2019 05:31:02.051000.00,
        52,          0.052000000,                  277,                 -410,Tue Apr 23 2019 05:31:02.052000.00,
        53,          0.053000000,                  273,                 -413,Tue Apr 23 2019 05:31:02.053000.00,
        54,          0.054000000,                  270,                 -416,Tue Apr 23 2019 05:31:02.054000.00,
        55,          0.055000001,                  267,                 -419,Tue Apr 23 2019 05:31:02.055000.00,
