POSITION,1,E:\double-sphere data\h1s1-3.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         3,          0.003000000,                  308,                 -321,Sun Apr 21 2019 04:42:20.003000.00,
         4,          0.004000001,                  308,                 -321,Sun Apr 21 2019 04:42:20.004000.00,
         5,          0.005000000,                  308,                 -321,Sun Apr 21 2019 04:42:20.005000.00,
         6,          0.006000000,                  308,                 -321,Sun Apr 21 2019 04:42:20.006000.00,
         7,          0.007000000,                  308,                 -321,Sun Apr 21 2019 04:42:20.007000.00,
         8,          0.008000000,                  308,                 -321,Sun Apr 21 2019 04:42:20.008000.00,
         9,          0.009000001,                  308,                 -321,Sun Apr 21 2019 04:42:20.009000.00,
        10,          0.010000001,                  309,                 -322,Sun Apr 21 2019 04:42:20.010000.00,
        11,          0.011000000,                  310,                 -331,Sun Apr 21 2019 04:42:20.011000.00,
        12,          0.012000000,                  310,                 -340,Sun Apr 21 2019 04:42:20.012000.00,
        13,          0.013000000,                  311,                 -350,Sun Apr 21 2019 04:42:20.013000.00,
        14,          0.014000000,                  312,                 -360,Sun Apr 21 2019 04:42:20.014000.00,
        15,          0.015000001,                  313,                 -370,Sun Apr 21 2019 04:42:20.015000.00,
        16,          0.016000001,                  315,                 -380,Sun Apr 21 2019 04:42:20.016000.00,
        17,          0.017000000,                  316,                 -390,Sun Apr 21 2019 04:42:20.017000.00,
        18,          0.018000000,                  317,                 -401,Sun Apr 21 2019 04:42:20.018000.00,
        19,          0.019000000,                  319,                 -411,Sun Apr 21 2019 04:42:20.019000.00,
        20,          0.020000000,                  320,                 -421,Sun Apr 21 2019 04:42:20.020000.00,
        21,          0.021000001,                  321,                 -431,Sun Apr 21 2019 04:42:20.021000.00,
        22,          0.022000001,                  322,                 -441,Sun Apr 21 2019 04:42:20.022000.00,
        23,          0.023000000,                  324,                 -451,Sun Apr 21 2019 04:42:20.023000.00,
        24,          0.024000000,                  325,                 -461,Sun Apr 21 2019 04:42:20.024000.00,
        25,          0.025000000,                  326,                 -471,Sun Apr 21 2019 04:42:20.025000.00,
        26,          0.026000001,                  327,                 -481,Sun Apr 21 2019 04:42:20.026000.00,
        27,          0.027000001,                  328,                 -491,Sun Apr 21 2019 04:42:20.027000.00,
        28,          0.028000000,                  330,                 -502,Sun Apr 21 2019 04:42:20.028000.00,
        29,          0.029000000,                  331,                 -512,Sun Apr 21 2019 04:42:20.029000.00,
        30,          0.030000000,                  332,                 -522,Sun Apr 21 2019 04:42:20.030000.00,
        31,          0.031000000,                  334,                 -532,Sun Apr 21 2019 04:42:20.031000.00,
        32,          0.032000001,                  335,                 -542,Sun Apr 21 2019 04:42:20.032000.00,
        33,          0.033000001,                  336,                 -552,Sun Apr 21 2019 04:42:20.033000.00,
        34,          0.034000000,                  337,                 -562,Sun Apr 21 2019 04:42:20.034000.00,
        35,          0.035000000,                  339,                 -572,Sun Apr 21 2019 04:42:20.035000.00,
        36,          0.036000000,                  340,                 -583,Sun Apr 21 2019 04:42:20.036000.00,
        37,          0.037000000,                  341,                 -592,Sun Apr 21 2019 04:42:20.037000.00,
        38,          0.038000001,                  343,                 -603,Sun Apr 21 2019 04:42:20.038000.00,
        39,          0.039000001,                  344,                 -613,Sun Apr 21 2019 04:42:20.039000.00,
        40,          0.040000000,                  345,                 -623,Sun Apr 21 2019 04:42:20.040000.00,
        41,          0.041000000,                  347,                 -633,Sun Apr 21 2019 04:42:20.041000.00,
        42,          0.042000000,                  348,                 -643,Sun Apr 21 2019 04:42:20.042000.00,
        43,          0.043000001,                  349,                 -653,Sun Apr 21 2019 04:42:20.043000.00,
        44,          0.044000001,                  350,                 -662,Sun Apr 21 2019 04:42:20.044000.00,
        45,          0.045000000,                  352,                 -672,Sun Apr 21 2019 04:42:20.045000.00,
        46,          0.046000000,                  353,                 -682,Sun Apr 21 2019 04:42:20.046000.00,
        47,          0.047000000,                  354,                 -692,Sun Apr 21 2019 04:42:20.047000.00,
        48,          0.048000000,                  355,                 -701,Sun Apr 21 2019 04:42:20.048000.00,
        49,          0.049000001,                  356,                 -711,Sun Apr 21 2019 04:42:20.049000.00,
        50,          0.050000001,                  358,                 -721,Sun Apr 21 2019 04:42:20.050000.00,
        51,          0.051000000,                  359,                 -730,Sun Apr 21 2019 04:42:20.051000.00,
        52,          0.052000000,                  360,                 -740,Sun Apr 21 2019 04:42:20.052000.00,
        53,          0.053000000,                  361,                 -750,Sun Apr 21 2019 04:42:20.053000.00,
        54,          0.054000000,                  362,                 -759,Sun Apr 21 2019 04:42:20.054000.00,
        55,          0.055000001,                  364,                 -769,Sun Apr 21 2019 04:42:20.055000.00,
        56,          0.056000001,                  365,                 -778,Sun Apr 21 2019 04:42:20.056000.00,
        57,          0.057000000,                  366,                 -788,Sun Apr 21 2019 04:42:20.057000.00,
        58,          0.058000000,                  367,                 -798,Sun Apr 21 2019 04:42:20.058000.00,
        59,          0.059000000,                  368,                 -807,Sun Apr 21 2019 04:42:20.059000.00,
        60,          0.060000001,                  370,                 -817,Sun Apr 21 2019 04:42:20.060000.00,
        61,          0.061000001,                  371,                 -826,Sun Apr 21 2019 04:42:20.061000.00,
        62,          0.062000000,                  372,                 -835,Sun Apr 21 2019 04:42:20.062000.00,
        63,          0.063000000,                  373,                 -845,Sun Apr 21 2019 04:42:20.063000.00,
        64,          0.064000000,                  375,                 -854,Sun Apr 21 2019 04:42:20.064000.00,
        65,          0.065000000,                  376,                 -864,Sun Apr 21 2019 04:42:20.065000.00,
        66,          0.066000001,                  377,                 -873,Sun Apr 21 2019 04:42:20.066000.00,
        67,          0.067000001,                  378,                 -883,Sun Apr 21 2019 04:42:20.067000.00,
