POSITION,1,E:\double-sphere data\h3d1-11.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         4,          0.004000001,                  289,                 -316,Tue Apr 23 2019 02:36:24.004000.00,
         5,          0.005000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.005000.00,
         6,          0.006000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.006000.00,
         7,          0.007000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.007000.00,
         8,          0.008000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.008000.00,
         9,          0.009000001,                  290,                 -320,Tue Apr 23 2019 02:36:24.009000.00,
        10,          0.010000001,                  290,                 -320,Tue Apr 23 2019 02:36:24.010000.00,
        11,          0.011000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.011000.00,
        12,          0.012000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.012000.00,
        13,          0.013000000,                  290,                 -320,Tue Apr 23 2019 02:36:24.013000.00,
        14,          0.014000000,                  291,                 -320,Tue Apr 23 2019 02:36:24.014000.00,
        15,          0.015000001,                  290,                 -321,Tue Apr 23 2019 02:36:24.015000.00,
        16,          0.016000001,                  290,                 -328,Tue Apr 23 2019 02:36:24.016000.00,
        17,          0.017000000,                  290,                 -335,Tue Apr 23 2019 02:36:24.017000.00,
        18,          0.018000000,                  290,                 -342,Tue Apr 23 2019 02:36:24.018000.00,
        19,          0.019000000,                  290,                 -349,Tue Apr 23 2019 02:36:24.019000.00,
        20,          0.020000000,                  291,                 -356,Tue Apr 23 2019 02:36:24.020000.00,
        21,          0.021000001,                  291,                 -364,Tue Apr 23 2019 02:36:24.021000.00,
        22,          0.022000001,                  292,                 -371,Tue Apr 23 2019 02:36:24.022000.00,
        23,          0.023000000,                  293,                 -378,Tue Apr 23 2019 02:36:24.023000.00,
        24,          0.024000000,                  294,                 -386,Tue Apr 23 2019 02:36:24.024000.00,
        25,          0.025000000,                  296,                 -393,Tue Apr 23 2019 02:36:24.025000.00,
        26,          0.026000001,                  298,                 -400,Tue Apr 23 2019 02:36:24.026000.00,
        27,          0.027000001,                  299,                 -406,Tue Apr 23 2019 02:36:24.027000.00,
        28,          0.028000000,                  301,                 -413,Tue Apr 23 2019 02:36:24.028000.00,
        29,          0.029000000,                  303,                 -419,Tue Apr 23 2019 02:36:24.029000.00,
        30,          0.030000000,                  306,                 -426,Tue Apr 23 2019 02:36:24.030000.00,
        31,          0.031000000,                  307,                 -431,Tue Apr 23 2019 02:36:24.031000.00,
        32,          0.032000001,                  310,                 -437,Tue Apr 23 2019 02:36:24.032000.00,
        33,          0.033000001,                  312,                 -442,Tue Apr 23 2019 02:36:24.033000.00,
        34,          0.034000000,                  313,                 -446,Tue Apr 23 2019 02:36:24.034000.00,
        35,          0.035000000,                  316,                 -451,Tue Apr 23 2019 02:36:24.035000.00,
        36,          0.036000000,                  318,                 -456,Tue Apr 23 2019 02:36:24.036000.00,
        37,          0.037000000,                  320,                 -461,Tue Apr 23 2019 02:36:24.037000.00,
        38,          0.038000001,                  323,                 -466,Tue Apr 23 2019 02:36:24.038000.00,
        39,          0.039000001,                  325,                 -470,Tue Apr 23 2019 02:36:24.039000.00,
        40,          0.040000000,                  328,                 -475,Tue Apr 23 2019 02:36:24.040000.00,
        41,          0.041000000,                  332,                 -479,Tue Apr 23 2019 02:36:24.041000.00,
        42,          0.042000000,                  334,                 -483,Tue Apr 23 2019 02:36:24.042000.00,
        43,          0.043000001,                  337,                 -486,Tue Apr 23 2019 02:36:24.043000.00,
        44,          0.044000001,                  340,                 -489,Tue Apr 23 2019 02:36:24.044000.00,
        45,          0.045000000,                  342,                 -493,Tue Apr 23 2019 02:36:24.045000.00,
        46,          0.046000000,                  343,                 -496,Tue Apr 23 2019 02:36:24.046000.00,
        47,          0.047000000,                  345,                 -498,Tue Apr 23 2019 02:36:24.047000.00,
        48,          0.048000000,                  347,                 -501,Tue Apr 23 2019 02:36:24.048000.00,
        49,          0.049000001,                  349,                 -504,Tue Apr 23 2019 02:36:24.049000.00,
        50,          0.050000001,                  350,                 -506,Tue Apr 23 2019 02:36:24.050000.00,
