POSITION,1,E:\double-sphere data\h1d1-15.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         6,          0.006000000,                  303,                 -121,Mon Apr 22 2019 06:48:28.006000.00,
         7,          0.007000000,                  303,                 -132,Mon Apr 22 2019 06:48:28.007000.00,
         8,          0.008000000,                  303,                 -143,Mon Apr 22 2019 06:48:28.008000.00,
         9,          0.009000001,                  304,                 -154,Mon Apr 22 2019 06:48:28.009000.00,
        10,          0.010000001,                  304,                 -164,Mon Apr 22 2019 06:48:28.010000.00,
        11,          0.011000000,                  304,                 -175,Mon Apr 22 2019 06:48:28.011000.00,
        12,          0.012000000,                  305,                 -186,Mon Apr 22 2019 06:48:28.012000.00,
        13,          0.013000000,                  305,                 -197,Mon Apr 22 2019 06:48:28.013000.00,
        14,          0.014000000,                  306,                 -208,Mon Apr 22 2019 06:48:28.014000.00,
        15,          0.015000001,                  306,                 -219,Mon Apr 22 2019 06:48:28.015000.00,
        16,          0.016000001,                  306,                 -225,Mon Apr 22 2019 06:48:28.016000.00,
        17,          0.017000000,                  306,                 -224,Mon Apr 22 2019 06:48:28.017000.00,
        18,          0.018000000,                  306,                 -224,Mon Apr 22 2019 06:48:28.018000.00,
        19,          0.019000000,                  307,                 -223,Mon Apr 22 2019 06:48:28.019000.00,
        20,          0.020000000,                  307,                 -222,Mon Apr 22 2019 06:48:28.020000.00,
        21,          0.021000001,                  307,                 -221,Mon Apr 22 2019 06:48:28.021000.00,
        22,          0.022000001,                  307,                 -220,Mon Apr 22 2019 06:48:28.022000.00,
        23,          0.023000000,                  307,                 -219,Mon Apr 22 2019 06:48:28.023000.00,
        24,          0.024000000,                  307,                 -219,Mon Apr 22 2019 06:48:28.024000.00,
        25,          0.025000000,                  308,                 -218,Mon Apr 22 2019 06:48:28.025000.00,
        26,          0.026000001,                  308,                 -217,Mon Apr 22 2019 06:48:28.026000.00,
        27,          0.027000001,                  308,                 -216,Mon Apr 22 2019 06:48:28.027000.00,
        28,          0.028000000,                  308,                 -216,Mon Apr 22 2019 06:48:28.028000.00,
        29,          0.029000000,                  308,                 -215,Mon Apr 22 2019 06:48:28.029000.00,
        30,          0.030000000,                  308,                 -214,Mon Apr 22 2019 06:48:28.030000.00,
        31,          0.031000000,                  309,                 -213,Mon Apr 22 2019 06:48:28.031000.00,
        32,          0.032000001,                  309,                 -213,Mon Apr 22 2019 06:48:28.032000.00,
        33,          0.033000001,                  309,                 -212,Mon Apr 22 2019 06:48:28.033000.00,
        34,          0.034000000,                  309,                 -211,Mon Apr 22 2019 06:48:28.034000.00,
        35,          0.035000000,                  309,                 -211,Mon Apr 22 2019 06:48:28.035000.00,
        36,          0.036000000,                  310,                 -210,Mon Apr 22 2019 06:48:28.036000.00,
        37,          0.037000000,                  310,                 -209,Mon Apr 22 2019 06:48:28.037000.00,
        38,          0.038000001,                  310,                 -209,Mon Apr 22 2019 06:48:28.038000.00,
        39,          0.039000001,                  310,                 -208,Mon Apr 22 2019 06:48:28.039000.00,
        40,          0.040000000,                  310,                 -208,Mon Apr 22 2019 06:48:28.040000.00,
        41,          0.041000000,                  310,                 -207,Mon Apr 22 2019 06:48:28.041000.00,
        42,          0.042000000,                  311,                 -207,Mon Apr 22 2019 06:48:28.042000.00,
        43,          0.043000001,                  311,                 -206,Mon Apr 22 2019 06:48:28.043000.00,
        44,          0.044000001,                  311,                 -206,Mon Apr 22 2019 06:48:28.044000.00,
        45,          0.045000000,                  311,                 -205,Mon Apr 22 2019 06:48:28.045000.00,
        46,          0.046000000,                  311,                 -205,Mon Apr 22 2019 06:48:28.046000.00,
        47,          0.047000000,                  311,                 -204,Mon Apr 22 2019 06:48:28.047000.00,
        48,          0.048000000,                  312,                 -204,Mon Apr 22 2019 06:48:28.048000.00,
        49,          0.049000001,                  312,                 -204,Mon Apr 22 2019 06:48:28.049000.00,
