POSITION,1,E:\double-sphere data\h3d1-16.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        17,          0.017000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.017000.00,
        18,          0.018000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.018000.00,
        19,          0.019000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.019000.00,
        20,          0.020000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.020000.00,
        21,          0.021000001,                  306,                 -319,Tue Apr 23 2019 02:36:25.021000.00,
        22,          0.022000001,                  306,                 -319,Tue Apr 23 2019 02:36:25.022000.00,
        23,          0.023000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.023000.00,
        24,          0.024000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.024000.00,
        25,          0.025000000,                  306,                 -319,Tue Apr 23 2019 02:36:25.025000.00,
        26,          0.026000001,                  306,                 -319,Tue Apr 23 2019 02:36:25.026000.00,
        27,          0.027000001,                  306,                 -319,Tue Apr 23 2019 02:36:25.027000.00,
        28,          0.028000000,                  306,                 -320,Tue Apr 23 2019 02:36:25.028000.00,
        29,          0.029000000,                  308,                 -325,Tue Apr 23 2019 02:36:25.029000.00,
        30,          0.030000000,                  310,                 -331,Tue Apr 23 2019 02:36:25.030000.00,
        31,          0.031000000,                  311,                 -338,Tue Apr 23 2019 02:36:25.031000.00,
        32,          0.032000001,                  313,                 -344,Tue Apr 23 2019 02:36:25.032000.00,
        33,          0.033000001,                  314,                 -351,Tue Apr 23 2019 02:36:25.033000.00,
        34,          0.034000000,                  315,                 -358,Tue Apr 23 2019 02:36:25.034000.00,
        35,          0.035000000,                  316,                 -365,Tue Apr 23 2019 02:36:25.035000.00,
        36,          0.036000000,                  318,                 -372,Tue Apr 23 2019 02:36:25.036000.00,
        37,          0.037000000,                  318,                 -379,Tue Apr 23 2019 02:36:25.037000.00,
        38,          0.038000001,                  320,                 -387,Tue Apr 23 2019 02:36:25.038000.00,
        39,          0.039000001,                  320,                 -394,Tue Apr 23 2019 02:36:25.039000.00,
        40,          0.040000000,                  321,                 -401,Tue Apr 23 2019 02:36:25.040000.00,
        41,          0.041000000,                  321,                 -408,Tue Apr 23 2019 02:36:25.041000.00,
        42,          0.042000000,                  321,                 -415,Tue Apr 23 2019 02:36:25.042000.00,
        43,          0.043000001,                  321,                 -422,Tue Apr 23 2019 02:36:25.043000.00,
        44,          0.044000001,                  321,                 -430,Tue Apr 23 2019 02:36:25.044000.00,
        45,          0.045000000,                  321,                 -437,Tue Apr 23 2019 02:36:25.045000.00,
        46,          0.046000000,                  321,                 -444,Tue Apr 23 2019 02:36:25.046000.00,
        47,          0.047000000,                  320,                 -450,Tue Apr 23 2019 02:36:25.047000.00,
        48,          0.048000000,                  319,                 -457,Tue Apr 23 2019 02:36:25.048000.00,
        49,          0.049000001,                  318,                 -464,Tue Apr 23 2019 02:36:25.049000.00,
        50,          0.050000001,                  317,                 -470,Tue Apr 23 2019 02:36:25.050000.00,
        51,          0.051000000,                  316,                 -477,Tue Apr 23 2019 02:36:25.051000.00,
        52,          0.052000000,                  315,                 -483,Tue Apr 23 2019 02:36:25.052000.00,
        53,          0.053000000,                  313,                 -489,Tue Apr 23 2019 02:36:25.053000.00,
        54,          0.054000000,                  312,                 -495,Tue Apr 23 2019 02:36:25.054000.00,
        55,          0.055000001,                  311,                 -501,Tue Apr 23 2019 02:36:25.055000.00,
        56,          0.056000001,                  309,                 -507,Tue Apr 23 2019 02:36:25.056000.00,
        57,          0.057000000,                  308,                 -513,Tue Apr 23 2019 02:36:25.057000.00,
        58,          0.058000000,                  306,                 -518,Tue Apr 23 2019 02:36:25.058000.00,
        59,          0.059000000,                  304,                 -524,Tue Apr 23 2019 02:36:25.059000.00,
        60,          0.060000001,                  302,                 -529,Tue Apr 23 2019 02:36:25.060000.00,
        61,          0.061000001,                  299,                 -534,Tue Apr 23 2019 02:36:25.061000.00,
        62,          0.062000000,                  297,                 -538,Tue Apr 23 2019 02:36:25.062000.00,
        63,          0.063000000,                  295,                 -543,Tue Apr 23 2019 02:36:25.063000.00,
        64,          0.064000000,                  293,                 -548,Tue Apr 23 2019 02:36:25.064000.00,
        65,          0.065000000,                  291,                 -552,Tue Apr 23 2019 02:36:25.065000.00,
        66,          0.066000001,                  289,                 -556,Tue Apr 23 2019 02:36:25.066000.00,
