POSITION,1,E:\double-sphere data\h3d1-3.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        11,          0.011000000,                  301,                 -129,Tue Apr 23 2019 02:02:03.011000.00,
        12,          0.012000000,                  300,                 -137,Tue Apr 23 2019 02:02:03.012000.00,
        13,          0.013000000,                  298,                 -146,Tue Apr 23 2019 02:02:03.013000.00,
        14,          0.014000000,                  298,                 -154,Tue Apr 23 2019 02:02:03.014000.00,
        15,          0.015000001,                  296,                 -163,Tue Apr 23 2019 02:02:03.015000.00,
        16,          0.016000001,                  295,                 -171,Tue Apr 23 2019 02:02:03.016000.00,
        17,          0.017000000,                  294,                 -180,Tue Apr 23 2019 02:02:03.017000.00,
        18,          0.018000000,                  293,                 -188,Tue Apr 23 2019 02:02:03.018000.00,
        19,          0.019000000,                  292,                 -197,Tue Apr 23 2019 02:02:03.019000.00,
        20,          0.020000000,                  291,                 -205,Tue Apr 23 2019 02:02:03.020000.00,
        21,          0.021000001,                  290,                 -214,Tue Apr 23 2019 02:02:03.021000.00,
        22,          0.022000001,                  288,                 -218,Tue Apr 23 2019 02:02:03.022000.00,
        23,          0.023000000,                  285,                 -217,Tue Apr 23 2019 02:02:03.023000.00,
        24,          0.024000000,                  283,                 -217,Tue Apr 23 2019 02:02:03.024000.00,
        25,          0.025000000,                  280,                 -217,Tue Apr 23 2019 02:02:03.025000.00,
        26,          0.026000001,                  278,                 -217,Tue Apr 23 2019 02:02:03.026000.00,
        27,          0.027000001,                  275,                 -217,Tue Apr 23 2019 02:02:03.027000.00,
        28,          0.028000000,                  273,                 -217,Tue Apr 23 2019 02:02:03.028000.00,
        29,          0.029000000,                  270,                 -216,Tue Apr 23 2019 02:02:03.029000.00,
        30,          0.030000000,                  268,                 -216,Tue Apr 23 2019 02:02:03.030000.00,
        31,          0.031000000,                  265,                 -216,Tue Apr 23 2019 02:02:03.031000.00,
        32,          0.032000001,                  262,                 -216,Tue Apr 23 2019 02:02:03.032000.00,
        33,          0.033000001,                  260,                 -216,Tue Apr 23 2019 02:02:03.033000.00,
        34,          0.034000000,                  257,                 -216,Tue Apr 23 2019 02:02:03.034000.00,
        35,          0.035000000,                  255,                 -215,Tue Apr 23 2019 02:02:03.035000.00,
        36,          0.036000000,                  252,                 -216,Tue Apr 23 2019 02:02:03.036000.00,
        37,          0.037000000,                  250,                 -216,Tue Apr 23 2019 02:02:03.037000.00,
        38,          0.038000001,                  247,                 -216,Tue Apr 23 2019 02:02:03.038000.00,
        39,          0.039000001,                  245,                 -215,Tue Apr 23 2019 02:02:03.039000.00,
        40,          0.040000000,                  242,                 -216,Tue Apr 23 2019 02:02:03.040000.00,
        41,          0.041000000,                  240,                 -215,Tue Apr 23 2019 02:02:03.041000.00,
        42,          0.042000000,                  237,                 -215,Tue Apr 23 2019 02:02:03.042000.00,
        43,          0.043000001,                  235,                 -215,Tue Apr 23 2019 02:02:03.043000.00,
        44,          0.044000001,                  233,                 -215,Tue Apr 23 2019 02:02:03.044000.00,
        45,          0.045000000,                  230,                 -215,Tue Apr 23 2019 02:02:03.045000.00,
        46,          0.046000000,                  228,                 -215,Tue Apr 23 2019 02:02:03.046000.00,
        47,          0.047000000,                  225,                 -215,Tue Apr 23 2019 02:02:03.047000.00,
        48,          0.048000000,                  223,                 -215,Tue Apr 23 2019 02:02:03.048000.00,
        49,          0.049000001,                  220,                 -216,Tue Apr 23 2019 02:02:03.049000.00,
        50,          0.050000001,                  218,                 -216,Tue Apr 23 2019 02:02:03.050000.00,
        51,          0.051000000,                  215,                 -216,Tue Apr 23 2019 02:02:03.051000.00,
        52,          0.052000000,                  213,                 -216,Tue Apr 23 2019 02:02:03.052000.00,
        53,          0.053000000,                  210,                 -216,Tue Apr 23 2019 02:02:03.053000.00,
        54,          0.054000000,                  208,                 -216,Tue Apr 23 2019 02:02:03.054000.00,
        55,          0.055000001,                  205,                 -217,Tue Apr 23 2019 02:02:03.055000.00,
        56,          0.056000001,                  203,                 -217,Tue Apr 23 2019 02:02:03.056000.00,
        57,          0.057000000,                  201,                 -217,Tue Apr 23 2019 02:02:03.057000.00,
        58,          0.058000000,                  198,                 -218,Tue Apr 23 2019 02:02:03.058000.00,
        59,          0.059000000,                  196,                 -218,Tue Apr 23 2019 02:02:03.059000.00,
        60,          0.060000001,                  193,                 -218,Tue Apr 23 2019 02:02:03.060000.00,
        61,          0.061000001,                  191,                 -218,Tue Apr 23 2019 02:02:03.061000.00,
        62,          0.062000000,                  188,                 -218,Tue Apr 23 2019 02:02:03.062000.00,
        63,          0.063000000,                  186,                 -219,Tue Apr 23 2019 02:02:03.063000.00,
        64,          0.064000000,                  184,                 -219,Tue Apr 23 2019 02:02:03.064000.00,
        65,          0.065000000,                  181,                 -219,Tue Apr 23 2019 02:02:03.065000.00,
        66,          0.066000001,                  179,                 -219,Tue Apr 23 2019 02:02:03.066000.00,
        67,          0.067000001,                  176,                 -220,Tue Apr 23 2019 02:02:03.067000.00,
        68,          0.068000000,                  174,                 -220,Tue Apr 23 2019 02:02:03.068000.00,
        69,          0.069000000,                  172,                 -221,Tue Apr 23 2019 02:02:03.069000.00,
        70,          0.070000000,                  169,                 -221,Tue Apr 23 2019 02:02:03.070000.00,
